ISBN13,Title,Author,author_id,Cover,,,,,,
9782702426326,Le Vallon,Agatha Christie,83,http://www.openisbn.com/cover/2702426328_72.jpg,,,,,,
9782702413722,La Maison Biscornue,Agatha Christie,83,http://www.openisbn.com/cover/2702413722_72.jpg,,,,,,
9782253009191,Le Crime Du Golf,Agatha Christie,83,http://www.openisbn.com/cover/2253009199_72.jpg,,,,,,
9782253020011,L'Affaire Protheroe,Agatha Christie,83,http://www.openisbn.com/cover/225302001X_72.jpg,,,,,,
9780425103630,Murder In Mesopotamia (Hercule Poirot),Agatha Christie,83,http://www.openisbn.com/cover/0425103633_72.jpg,,,,,,
9780425129609,Evil Under The Sun (Hercule Poirot),Agatha Christie,83,http://www.openisbn.com/cover/0425129608_72.jpg,,,,,,
9780425099148,Death In The Clouds/Death In The Air (Hercule Poirot),Agatha Christie,83,http://www.openisbn.com/cover/0425099148_72.jpg,,,,,,
9780312979737,The Witness For The Prosecution (St. Martin's Minotaur Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0312979738_72.jpg,,,,,,
9780451201133,N Or M? (Tommy And Tuppence),Agatha Christie,83,http://www.openisbn.com/cover/0451201132_72.jpg,,,,,,
9780425129630,Hallowe'en Party (Hercule Poirot),Agatha Christie,83,http://www.openisbn.com/cover/0425129632_72.jpg,,,,,,
9780425173916,The Clocks (Hercule Poirot),Agatha Christie,83,http://www.openisbn.com/cover/0425173917_72.jpg,,,,,,
9780451199898,The Mirror Crack'd (Miss Marple Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0451199898_72.jpg,,,,,,
9780451201195,A Murder Is Announced (Miss Marple Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0451201191_72.jpg,,,,,,
9780312981600,The Mysterious Mr. Quin,Agatha Christie,83,http://www.openisbn.com/cover/0312981600_72.jpg,,,,,,
9780451200181,Nemesis (Miss Marple Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0451200187_72.jpg,,,,,,
9780312979812,The Sittaford Mystery (St. Martin's Minotaur Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0312979819_72.jpg,,,,,,
9780425175453,Mrs. McGinty's Dead: A Hercule Poirot Novel (Hercule Poirot Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0425175456_72.jpg,,,,,,
9780312981655,Parker Pyne Investigates,Agatha Christie,83,http://www.openisbn.com/cover/0312981651_72.jpg,,,,,,
9780425068038,Taken At The Flood (aka There Is A Tide...),Agatha Christie,83,http://www.openisbn.com/cover/042506803X_72.jpg,,,,,,
9780425091807,Three Act Tragedy (Hercule Poirot Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0425091805_72.jpg,,,,,,
9780425098547,Dumb Witness (Hercule Poirot),Agatha Christie,83,http://www.openisbn.com/cover/0425098540_72.jpg,,,,,,
9780312981686,Destination Unknown (St. Martin's Minotaur Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0312981686_72.jpg,,,,,,
9780425173909,After The Funeral (Hercule Poirot Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0425173909_72.jpg,,,,,,
9780451200532,Postern Of Fate,Agatha Christie,83,http://www.openisbn.com/cover/0451200535_72.jpg,,,,,,
9780425099612,Lord Edgware Dies,Agatha Christie,83,http://www.openisbn.com/cover/042509961X_72.jpg,,,,,,
9780440159223,Murder After Hours,Agatha Christie,83,http://www.openisbn.com/cover/0440159229_72.jpg,,,,,,
9780441240982,The Floating Admiral,Agatha Christie,83,,,,,,,
9780451199867,A Pocket Full Of Rye (Miss Marple Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0451199863_72.jpg,,,,,,
9780451201201,The Secret Adversary,Agatha Christie,83,http://www.openisbn.com/cover/0451201205_72.jpg,,,,,,
9780440152309,Man In The Brown Suit,Agatha Christie,83,http://www.openisbn.com/cover/0440152305_72.jpg,,,,,,
9780671542122,Third Girl,Agatha Christie,83,http://www.openisbn.com/cover/0671542125_72.jpg,,,,,,
9780425130254,Peril At End House (Hercule Poirot Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0425130258_72.jpg,,,,,,
9780425080009,The Golden Ball And Other Stories,Agatha Christie,83,http://www.openisbn.com/cover/0425080005_72.jpg,,,,,,
9780425103524,Partners In Crime (Agatha Christie Mysteries Collection),Agatha Christie,83,http://www.openisbn.com/cover/0425103528_72.jpg,,,,,,
